CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"1065","صناعة الأفلام","FILM MAKING","MMD2156","2","1","1","","","","","","","","","10"
"1066","أساسيات التصميم ثلاثي الأبعاد","FUNDAMENTAL OF 3D","MMD43157","3","1","2","","","","","","","","","10"
"1067","معالجة وتحرير الصوت والفيديو الرقمي","AUDIO AND VIDEO EDITING","MMD43158","3","1","2","","","","","","","","","10"
"1068","التحريك ثلاثي الأبعاد","3D ANIMATION","MMD43262","3","1","2","","","","","","","","","1"
"1069","التفكير المنطقي","LOGICAL THINKING","CMP02265","2","2","0","","","","","","","","","10"
"1070","الهوية البصرية ونظرية الألوان","VISUAL IDENTITY  AND COLORS THEORY","MMD43259","3","2","1","","","","","","","","","10"
"1071","نمذجة العناصر ثلاثية الأبعاد","3D CHARACTER MODELING","MMD43260","3","1","2","","","","","","","","","10"
"1072","التحريك ثنائي الأبعاد البسيط","2D ANIMATION","MMD43264","3","1","2","","","","","","","","","10"
"1073","كتابة السيناريو وإعداد القصص","CONTEMPORARY DOCTRINAL ISSUES","ACD03351","2","2","0","","","","","","","","","10"
"1074","نمذجة العناصر ثلاثية الأبعاد","3D CHARACTER MODELING","MMD43260","3","1","2","","","","","","","","","10"
"1075","الإضائة والخامات ثلاثية الأبعاد","LIGHTING AND MATERIALS","MMD43263","3","1","2","","","","","","","","","10"
"1076","التكنولوجيا والمجتمع","TECHNOLOGY AND SOCIETY","CMP03289","3","3","0","","","","","","","","","10"
"1077","التحريك ثنائي الأبعاد المتقدم","2D CHARACTER ANIMATION","MMD42269","2","0","2","","","","","","","","","10"
"1078","مبادئ البرمجة","PROGRAMMING FUNDAMENTALS","CMP13266","3","2","1","","","","","","","","","10"
"1079","محركات الألعاب","GAME ENGINE","MMD43267","3","1","2","","","","","","","","","10"
"1080","انتاج الموشن جرافيك","FUNDAMENTAL OF MOTION GRAPHICS","MMD43368","3","1","2","","","","","","","","","10"
"1081","تصميم العمارة","ARCHITECTURAL DESIGN","MMD42375","2","2","0","","","","","","","","","10"
"1082","التصوير السينمائي","CINEMA PHOTOGRAPHY","MMD02370","2","1","1","","","","","","","","","10"
"1083","العظام والأوزان ثلاثية الأبعاد","RIGGING AND WEIGHTING","MMD43371","3","1","2","","","","","","","","","10"
"1084","النحت ثلاثي الأبعاد","3D SCULPTING","MMD43372","3","1","2","","","","","","","","","10"
"1085","انتاج الموشن جرافيك المتقدم","MOTION GRAPHICS PRODUCTION","MMD43373","3","1","2","","","","","","","","","10"
"1086","تحريك الشخصيات ثلاثية الأبعاد","3D CHARACTER ANIMATION","MMD43374","3","1","2","","","","","","","","","10"
"1087","الوسائط المتعددة التفاعلية","INTERACTIVE MEDIA","MMD42376","2","1","1","","","","","","","","","10"
"1088","تحريك الشخصيات ثلاثية الأبعاد المتقدمة","ADVANCED 3D CHARACTER ANIMATION","MMD43477","3","1","2","","","","","","","","","10"
"1089","المؤثرات البصرية","VISUAL EFFECTS","MMD43478","3","1","2","","","","","","","","","10"
"1090","مقدمة في مشروع التخرج","INTRODUCTION TO GRADUATION PROJECT","MMD01479","1","1","0","","","","","","","","","10"
"1091","تطوير المهارات الميدانية","CAREER DEVELOPMENT","CMP02481","2","1","1","","","","","","","","","10"
"1092","المحاكاة ثلاثية الأبعاد","3D SIMULATION","MMD43482","3","1","2","","","","","","","","","10"
"1093","تدريب ميداني","FIELD TRAINING","MMD03483","3","0","3","","","","","","","","","10"
"1094","الخدع السينمائية","COMPOSITING & SPECIAL EFFECTS","MMD43484","3","1","2","","","","","","","","","10"
"1095","ادارة مشاريع الوسائط المتعددة","MULTIMEDIA PROJECT MANAGEMENT","MMD02485","2","2","0","","","","","","","","","10"
"1096","تقنيات التحريك الرقمي","FINAL PROJECT (GRADUATION PROJECT )","MMD03486","2","1","1","","","","","","","","","10"
"1097","أخلاقيات المهنة","IT ETHICS","CMP01488","1","1","0","","","","","","","","","10"
"1098","مشروع التخرج","GRADUATION PROJECT","MMD03486","3","1","2","","","","","","","","","10"
"1099","المهارات الحديثة والنقد الفني","MODERN DRAMA AND ART CRITICISM","ELEC0001","2","0","2","","","","","","","","","10"
