CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"1","اللغة الإنجليزية","ENGLISH LANGUAGE","ACD03001","3","3","0","","","","","","","","","6"
"2","مقدمة في الحاسوب","INTRODUCTION TO COMPUTERS","CMP03000","3","1","2","المحتويـــــات : \
وصف لمراحل تطور الحاسوب وتصنيفاته ومجالات استخدامه ـ شرح مكونات الحاسوب الأساسية  (المادية والبرمجية), ووحداته المختلفة ووظائف كل منها ( وحدة الذاكرة, المعالجة المركزية, الإدخال والإخراج) ـ الأنظمة العددية والتحويل من نظام عددي إلى آخر وطرق تمثيل البيانات داخل جهاز الحاسوب ـ دور الخوارزميات في حل مشاكل الحاسوب باستخدام العمليات الحسابية ـ التعرف على البرمجيات المختلفة وإدارة جهاز نظام التشغيل windows  مع برنامج معالجة النصوص word. \
",\N,\N,\N,"المحتويـــــات : \
وصف لمراحل تطور الحاسوب وتصنيفاته ومجالات استخدامه ـ شرح مكونات الحاسوب الأساسية  (المادية والبرمجية), ووحداته المختلفة ووظائف كل منها ( وحدة الذاكرة, المعالجة المركزية, الإدخال والإخراج) ـ الأنظمة العددية والتحويل من نظام عددي إلى آخر وطرق تمثيل البيانات داخل جهاز الحاسوب ـ دور الخوارزميات في حل مشاكل الحاسوب باستخدام العمليات الحسابية ـ التعرف على البرمجيات المختلفة وإدارة جهاز نظام التشغيل windows  مع برنامج معالجة النصوص word.","","","","1"
"3","التنمية في الوطن العربي","DEVELOPMENT IN ARAB WORLD","BUS03002","3","3","0",\N,\N,\N,\N,"","","","","3"
"4","اللغة العربية","ARABIC LANGUAGE","ACD03000","3","3","0",\N,\N,\N,\N,"","","","","6"
"5","مبادئ الإدارة","PRINCIPLES OF MANAGEMENT","BUS13000","3","3","0","يهدف المقرر إلى تعريف الطالب بالمبادئ العلمية والعملية للإدارة. في ويتضمن نظريات ومدارس الإدارة ووظائف الإدارة من التخطيط والتوجيه والتنظيم والرقابة ويتطرق وكذلك وظائف المنظمة وهي التمويل والإدارة المالية والتسويق والشراء والتخزين والأفراد والإنتاج والعلاقات العامة ...الخ .ويتم الربط بين الجانب العلمي والعملي من خلال الحالات الدراسية. ","","","","يهدف المقرر إلى تعريف الطالب بالمبادئ العلمية والعملية للإدارة. في ويتضمن نظريات ومدارس الإدارة ووظائف الإدارة من التخطيط والتوجيه والتنظيم والرقابة ويتطرق وكذلك وظائف المنظمة وهي التمويل والإدارة المالية والتسويق والشراء والتخزين والأفراد والإنتاج والعلاقات العامة ...الخ .ويتم الربط بين الجانب العلمي والعملي من خلال الحالات الدراسية.","","","","3"
"6","المحاسبة","ACCOUNTING","BUS33000","3","3","0",\N,\N,\N,\N,"","","","","3"
"7","رياضيات","MATHEMATICS","ACD03108","3","3","0",\N,\N,\N,\N,"","","","","6"
"8","اللغة الإنجليزية الفنية","TECHNICAL ENGLISH","ACD03003","3","3","0",\N,\N,\N,\N,"","","","","6"
"9","دراسات في الفكر العربي الإسلامي","STUDIES IN ARAB-ISLAMIC THOUGHT","ACD03002","3","3","0","","","","","","","","","6"
"10","الإقتصاد","ECONOMICS","BUS23100","3","3","0",\N,\N,\N,\N,"","","","","3"
"11","طباعة I","TYPING I","BUS02100","2","0","2",\N,\N,\N,\N,"","","","","3"
"12","تطبيقات برمجية","SOFTWARE APPLICATIONS","BUS12107","2","0","2","","","","","","","","","3"
"13","طباعة II","TYPING II","BUS02201","2","0","2",\N,\N,\N,\N,"","","","","3"
"14","أعمال المكاتب والسكرتارية","OFFICE & SECRETARIAL WORK","BUS13202","3","3","0",\N,\N,\N,\N,"","","","","3"
"15","إدارة الأفراد والمؤسسات","PERSONNEL & INSTITUTION MANAGEMENT","BUS13203","3","3","0",\N,\N,\N,\N,"","","","","3"
"16","المراسلات التجارية باللغة العربية","CORRESPONDENCE IN ARABIC","BUS12204","2","2","0",\N,\N,\N,\N,"","","","","3"
"17","الإحصاء","STATISTICS","BUS03005","3","3","0",\N,\N,\N,\N,"","","","","3"
"18","تطبيقات برمجية II","SOFTWARE APPLICATIONS II","CMP52208","2","0","2","يهدف هذا المساق إلى تعريف الطالب أساسيات برنامج الفوتوشوب والتعرف على استخداماته في معالجة الصور والرسومات  وكذلك التعرف على أدوات البرنامج كذلك يهدف المساق إلى تعريف الطالب ببرنامج الفلاش واستخداماته  في التصميم يركز هذا المساق على استخدام برنامج الفلاش وإنشاء الحركات بأنواعها على الصور والتعامل مع الفريم وفهم محتويات البرنامج من مكتبات وطبقات , وكذلك التعامل مع الأزرار والأصوات, وتحميل فيلم الفلاش على موقع ويب","","","","يهدف هذا المساق إلى تعريف الطالب أساسيات برنامج الفوتوشوب والتعرف على استخداماته في معالجة الصور والرسومات  وكذلك التعرف على أدوات البرنامج كذلك يهدف المساق إلى تعريف الطالب ببرنامج الفلاش واستخداماته  في التصميم يركز هذا المساق على استخدام برنامج الفلاش وإنشاء الحركات بأنواعها على الصور والتعامل مع الفريم وفهم محتويات البرنامج من مكتبات وطبقات , وكذلك التعامل مع الأزرار والأصوات, وتحميل فيلم الفلاش على موقع ويب","","","","1"
"19","تدريب ميداني I","FIELD TRAINING I","BUS12208","2","0","2",\N,\N,\N,\N,"","","","","3"
"20","أتمتة المكاتب","OFFICE AUTOMATION","BUS13205","3","2","1","بسم الله الرحمن الرحيم","In the name of GOD","بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم","In the name of GOD\
In the name of GOD\
In the name of GOD\
In the name of GOD\
In the name of GOD","بسم الله الرحمن الرحيم","In the name of GOD","بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم\
بسم الله الرحمن الرحيم","In the name of GOD\
In the name of GOD\
In the name of GOD\
In the name of GOD\
In the name of GOD","3"
"21","المراسلات التجارية بالإنجليزية","CORRESPONDENCE IN ENGLISH","BUS12206","2","2","0","","","","","","","","","3"
"22","أنظمة المعلومات الإدارية","MANAGERIAL INFORMATION SYSTEMS","BUS13206","3","3","0",\N,\N,\N,\N,"","","","","3"
"23","مبادئ العلاقات العامة","PRINCIPLES OF PUBLIC RELATIONS","BUS13210","3","3","0",\N,\N,\N,\N,"","","","","3"
"24","السلوك التنظيمي","ORGANIZATIONAL BEHAVIOR","BUS13207","3","3","0",\N,\N,\N,\N,"","","","","3"
"25","تطبيقات على الطباعة والنشر المكتبي","OFFICE TYPOGRAPHY & PUBLISHING APPLICATIONS","BUS02206","2","0","2",\N,\N,\N,\N,"","","","","3"
"26","تدريب ميداني II","FIELD TRAINING II","BUS12209","2","0","2",\N,\N,\N,\N,"","","","","3"
"27","تطبيقات برمجية I","SOFTWARE APPLICATIONS I","CMP52102","2","0","2","يهدف هذا المساق إلى تعريف الطالب وتمكينه من استخدام بعض البرامج التطبيقية التالية  Ms. Excel , Ms. PowerPoint بالإضافة إن أمكن إلى   Ms. Publisher وهي برامج خاصة بمعالجة الجداول الالكترونية والعروض التقديمية وتصميم وإخراج المنشورات والمغلفات والإعلانات","","","","يهدف هذا المساق إلى تعريف الطالب وتمكينه من استخدام بعض البرامج التطبيقية التالية  Ms. Excel , Ms. PowerPoint بالإضافة إن أمكن إلى   Ms. Publisher وهي برامج خاصة بمعالجة الجداول الالكترونية والعروض التقديمية وتصميم وإخراج المنشورات والمغلفات والإعلانات","","","","1"
"28","الإحصاء التطبيقي","APPLIED STATISTICS","BUS03006","3","2","1",\N,\N,\N,\N,"","","","","3"
"29","تطبيقات برمجية II","SOFTWARE APPLICATIONS II","CMP52203","2","0","2",\N,\N,\N,\N,"","","","","1"
"30","قواعد البيانات I","DATABASE I","CMP23207","3","2","1",\N,\N,\N,\N,"","","","","1"
"31","نظم التشغيل","OPERATING SYSTEMS","CMP03203","3","2","1",\N,\N,\N,\N,"","","","","1"
"32","تطبيقات الانترنت","INTERNET APPLICATIONS","CMP53104","3","1","2",\N,\N,\N,\N,"","","","","1"
"33","الخوارزميات ومبادئ البرمجة","ALGORITHMS AND PROGRAMMING PRINCIPLES","CMP13211","3","2","1",\N,\N,\N,\N,"","","","","1"
"34","اللغة الإنجليزية الفنية","TECHNICAL ENGLISH","ACD03004","3","3","0",\N,\N,\N,\N,"","","","","6"
"35","قواعد البيانات II","DATABASE II","CMP23208","3","1","2",\N,\N,\N,\N,"","","","","1"
"36","البرمجة المرئية","VISUAL PROGRAMMING","CMP13210","3","1","2",\N,\N,\N,\N,"","","","","1"
"37","برمجة متقدمة","ADVANCED PROGRAMMING","CMP13208","3","2","1",\N,\N,\N,\N,"","","","","1"
"38","مقدمة في هندسة البرمجيات","INTRODUCTION TO SOFTWARE ENGINEERING","CMP23206","3","3","0",\N,\N,\N,\N,"","","","","1"
"39","شبكات وتراسل البيانات","NETWORKS AND DATA COMMUNICATION","CMP33202","3","2","1",\N,\N,\N,\N,"","","","","1"
"40","البرمجة الشيئية","OBJECT ORIENTED PROGRAMMING","CMP13201","3","2","1",\N,\N,\N,\N,"","","","","1"
"41","برمجة الإنترنت","INTERNET PROGRAMMING","CMP13209","3","1","2",\N,\N,\N,\N,"","","","","1"
"42","قواعد بيانات متقدمة","ADVANCED DATABASE","CMP23209","3","1","2",\N,\N,\N,\N,"","","","","1"
"43","مشروع التخرج","GRADUATION PROJECT","CMP53207","3","0","3",\N,\N,\N,\N,"","","","","1"
"44","تدريب ميداني","FIELD TRAINING","CMP52201","3","0","3","","","","","","","","","1"
"45","تكنولوجيا المعلومات","INFORMATION TECHNOLOGY","CMP03101","3","2","1",\N,\N,\N,\N,"","","","","1"
"46","مقدمة في الوسائط المتعددة","INTRODUCTION TO MULTIMEDIA","CMP43100","3","2","1",\N,\N,\N,\N,"","","","","1"
"47","مقدمة في البرمجة","INTRODUCTION TO PROGRAMMING","CMP13100","3","2","1",\N,\N,\N,\N,"","","","","1"
"48","تصميم مواقع الويب","WEBSITE DESIGN","CMP43103","3","2","1",\N,\N,\N,\N,"","","","","1"
"49","معالجة الصور","IMAGE PROCESSING","CMP43101","3","1","2",\N,\N,\N,\N,"","","","","1"
"50","نظم قواعد البيانات","DATABASE SYSTEMS","CMP23201","3","2","1",\N,\N,\N,\N,"","","","","1"
"51","مناهج البحث العلمي","SCIENTIFIC RESEARCH METHODS","ACD01212","1","1","0",\N,\N,\N,\N,"","","","","6"
"52","تحليل وتصميم النظم","SYSTEM ANALYSIS & DESIGN","CMP23200","3","3","0",\N,\N,\N,\N,"","","","","1"
"53","الشبكات والإنترنت","NETWORKS & THE INTERNET","CMP33200","3","2","1",\N,\N,\N,\N,"","","","","1"
"54","معالجة الصوت والفيديو","AUDIO & VIDEO PROCESSING","CMP43204","3","1","2",\N,\N,\N,\N,"","","","","1"
"55","برمجة الويب I","WEB PROGRAMMING I","CMP13202","3","2","1",\N,\N,\N,\N,"","","","","1"
"56","مقدمة في الرسوم المتحركة","INTRODUCTION TO ANIMATION","CMP42202","2","0","2",\N,\N,\N,\N,"","","","","1"
"57","قواعد البيانات للويب","DATABASE POWERED WEBSITE","CMP23202","3","2","1",\N,\N,\N,\N,"","","","","1"
"58","برمجة الويب II","WEB PROGRAMMING II","CMP13203","3","2","1",\N,\N,\N,\N,"","","","","1"
"59","أمن البيانات","DATA SECURITY","CMP03202","3","2","1",\N,\N,\N,\N,"","","","","1"
"60","تدريب ميداني","FIELD TRAINING","CMP52200","3","0","3","","","","","","","","","1"
"61","مشروع التخرج","GRADUATION PROJECT","CMP53206","3","0","3",\N,\N,\N,\N,"","","","","1"
"62","الصحافة الإذاعية I","BROADCASTING JOURNALISM I","MED33100","3","3","0","","","","","","","","","4"
"63","إلكترونيات","ELECTRONICS","EEE13109","3","2","1",\N,\N,\N,\N,"","","","","2"
"64","الصوتيات","ACOUSTICS","EEE33110","3","3","0","","","","","","","","","2"
"65","مبادئ الكهرباء","PRINCIPLES OF ELECTRICITY","EEE13100","3","2","1",\N,\N,\N,\N,"","","","","2"
"66","الصحافة الإذاعية II","BROADCASTING JOURNALISM II","MED33103","3","3","0","","","","","","","","","4"
"67","إنتاج استوديو I","STUDIO PRODUCTION I","MED03102","3","2","1",\N,\N,\N,\N,"","","","","4"
"68","التصوير التليفزيوني","SINGLE CAMERA VIDEO","MED33103","3","2","1","","","","","","","","","4"
"69","إنارة كهربائية","LIGHTING","EEE83101","3","2","1",\N,\N,\N,\N,"","","","","2"
"70","إعلان وتسويق","ADVERTISING & MARKETING","BUS13101","3","2","1",\N,\N,\N,\N,"","","","","3"
"71","الصحافة الإذاعية III","BROADCASTING JOURNALISM III","MED33204","3","3","0","","","","","","","","","4"
"72","الإعلان التلفزيوني","TV ANNOUNCING","MED33205","3","3","0","","","","","","","","","4"
"73","إنتاج استوديو II","STUDIO PRODUCTION II","MED03206","3","2","1",\N,\N,\N,\N,"","","","","4"
"74","إنتاج تلفزيوني خارجي I","OUTSIDE PRODUCTION I","MED03207","3","2","1",\N,\N,\N,\N,"","","","","4"
"75","الديكور","DECORATION","EEE23209","3","3","0","","","","","","","","","2"
"76","معدات العمل التليفزيوني I","TV OPERATION I","MED03208","3","2","1",\N,\N,\N,\N,"","","","","4"
"77","صيانة إلكترونية","MAINTENANCE","EEE93201","3","1","2",\N,\N,\N,\N,"","","","","2"
"78","إعداد برامج الراديو والتلفزيون","RADIO, TV PROGRAMMING","MED33210","3","3","0","","","","","","","","","4"
"79","الرسم بالكمبيوتر","COMPUTER GRAPHIC DESIGN","CMP43205","3","1","2",\N,\N,\N,\N,"","","","","1"
"80","إنتاج استوديو III","STUDIO PRODUCTION III","MED03211","3","2","1",\N,\N,\N,\N,"","","","","4"
"81","إنتاج تلفزيوني خارجي II","OUTSIDE PRODCUTION II","MED03212","3","3","0",\N,\N,\N,\N,"","","","","4"
"82","معدات العمل التليفزيوني II","TV OPERATION II","MED03213","3","2","1",\N,\N,\N,\N,"","","","","4"
"83","تاريخ الأزياء","FASHION HISTORY","FSH02100","2","2","0",\N,\N,\N,\N,"","","","","4"
"84","مبادئ التصميم","PRINCIPLES OF INTERIOR DESIGN","FSH03101","3","2","1",\N,\N,\N,\N,"","","","","4"
"85","الرسم الهندسي","ENGINEERING DRAWING","MEE02100","2","0","2",\N,\N,\N,\N,"","","","","2"
"86","تكنولوجيا الخياطة I","SEWING TECHNOLOGY I","FSH02102","2","1","1",\N,\N,\N,\N,"","","","","4"
"87","المنسوجات","TEXTILES","FSH03103","3","2","1",\N,\N,\N,\N,"","","","","4"
"88","تاريخ الفن I","HISTORY OF ART I","FSH03104","3","3","0",\N,\N,\N,\N,"","","","","4"
"89","تصميم الأزياء","FASHION DESIGN","FSH02105","2","1","1",\N,\N,\N,\N,"","","","","4"
"90","تصميم ومخططات وخياطة I","PATTERN DESIGN & SEWING I","FSH02106","2","0","2",\N,\N,\N,\N,"","","","","4"
"91","المنظور الهندسي","ENGINERING PERSPECTIVE","FSH03107","3","2","1",\N,\N,\N,\N,"","","","","2"
"92","تكنولوجيا الخياطة II","SEWING TECHNOLOGY II","FSH02108","2","1","1",\N,\N,\N,\N,"","","","","4"
"93","تاريخ الفن II","HISTORY OF ART II","FSH03209","3","3","0",\N,\N,\N,\N,"","","","","4"
"94","تدريب ميداني I","FIELD TRAINING","FSH03210","3","0","3","","","","","","","","","4"
"95","تصميم مخططات وخياطة II","PATTERN DESIGN & SEWING II","FSH02211","2","0","2",\N,\N,\N,\N,"","","","","4"
"96","التصميم على المجسم","DESIGN ON MODELS","FSH02212","2","0","2",\N,\N,\N,\N,"","","","","4"
"97","النسيج اليدوي","HAND WEAVING","FSH02213","2","1","1",\N,\N,\N,\N,"","","","","4"
"98","تفصيل ملابس الأطفال وخياطتها","DESING & SEING OF CHILD COLTHES","FSH02214","2","0","2",\N,\N,\N,\N,"","","","","4"
"99","تصميم مخططات وخياطة III","PATTERN DESIGN & SEWING III","FSH03215","3","0","3",\N,\N,\N,\N,"","","","","4"
"100","تدريب ميداني II","FIELD TRAINING II","FSH03216","3","0","3",\N,\N,\N,\N,"","","","","4"
"101","التريكو","KNITTING","FSH03217","3","1","2",\N,\N,\N,\N,"","","","","4"
"102","التطريز","EMBROIDERY","FSH01218","1","0","1",\N,\N,\N,\N,"","","","","4"
"103","علم الجمال","AESTHETICS","FSH03219","3","3","0",\N,\N,\N,\N,"","","","","4"
"104","التسويق","MARKETING","BUS03204","3","3","0",\N,\N,\N,\N,"","","","","3"
"105","مشروع التخرج","GRADUATION PROJECT","FSH03220","2","0","2","","","","","","","","","4"
"106","رياضيات I","MATHEMATICS I","ACD03107","3","3","0",\N,\N,\N,\N,"","","","","6"
"107","فيزياء","PHYSICS","ACD03111","3","2","1",\N,\N,\N,\N,"","","","","6"
"108","إلكترونيات I","ELECTRONICS I","EEE13101","3","3","0",\N,\N,\N,\N,"","","","","2"
"109","مشغل صيانة وتأسيس","ENGINEERING WORKSHOP","MEE02104","2","0","2",\N,\N,\N,\N,"","","","","2"
"110","رياضيات II","MATHEMATICS II","ACD03110","3","3","0",\N,\N,\N,\N,"","","","","6"
"111","إلكترونيات II","ELECTRONICS II","EEE13102","3","2","1",\N,\N,\N,\N,"","","","","2"
"112","الرسم الكهربي","ELECTRCAL DRAWING","EEE12103","2","0","2",\N,\N,\N,\N,"","","","","2"
"113","مبادئ الاتصالات","PRINCIPLES OF COMMUNICATIONS","EEE33100","3","2","1","","","","","","","","","2"
"114","كهرومغناطيسية","ELECTRICITY AND MAGNETISM","EEE73100","3","3","0",\N,\N,\N,\N,"","","","","2"
"115","إلكترونيات رقمية","DIGITAL ELECTRONICS","EEE13204","3","2","1",\N,\N,\N,\N,"","","","","2"
"116","اتصالات رقمية","DIGITAL COMMUNICATIONS","EEE33201","3","2","1","","","","","","","","","2"
"117","أنظمة الهواتف والمقسمات الهاتفية I","TELEPHONY SYSTEMS I","EEE33202","3","2","1",\N,\N,\N,\N,"","","","","2"
"118","الهوائيات وانتشار الموجات","ANTENNAS & WAVE PROPAGATION","EEE73201","3","2","1","","","","","","","","","2"
"119","خطوط النقل","TRANSMISSION LINES","EEE73202","3","3","0",\N,\N,\N,\N,"","","","","2"
"120","تدريب ميداني","FIELD TRAINING","EEE02203","2","0","2",\N,\N,\N,\N,"","","","","2"
"121","صيانة أجهزة الاتصالات السلكية واللاسلكية","WIRE & WIRELESS APPARATUS MAINTENANCE","EEE93200","3","2","1",\N,\N,\N,\N,"","","","","2"
"122","اتصالات الملاحة","NAVIGATION COMMUNICATIONS","EEE73203","3","3","0","","","","","","","","","2"
"123","اتصالات الأقمار الصناعية","SATELLITE COMMUNICATIONS","EEE72204","2","2","0","","","","","","","","","2"
"124","الاتصالات اللاسلكية والخليوية","WIRELESS AND CELLULAR COMMUNICATIONS","EEE33203","3","3","0","","","","","","","","","2"
"125","أنظمة الهواتف والمقسمات الهاتفية II","TELEPHONY SYSTEMS II","EEE33204","3","2","1",\N,\N,\N,\N,"","","","","2"
"126","مشروع تخرج","GRADUATION PROJECT","EEE02204","2","0","2","","","","","","","","","2"
"127","اللغة الفرنسية I","FRENCH LANGUAGE I","ACD02113","2","2","0",\N,\N,\N,\N,"","","","","6"
"128","تقنيات الدوائر الأمامية والاستقبال I","FRONT OFFICE PROCEDURES I","HOT02113","2","2","0",\N,\N,\N,\N,"","","","","5"
"129","اللغة الإنجليزية الفنية I","TECHNICAL ENGLISH I","ACD03005","3","3","0","","","","","","","","","6"
"130","تقنيات الدوائر الأمامية والاستقبال II","FRONT OFFICE PROCEDURES II","HOT02114","2","2","0",\N,\N,\N,\N,"","","","","5"
"131","تقنيات شؤون التدبير الفندقي I","HOUSE KEEPING PROCEDURES I","HOT02115","2","1","1",\N,\N,\N,\N,"","","","","5"
"132","اللغة الفرنسية II","FRENCH LANGUAGE II","ACD02114","2","2","0",\N,\N,\N,\N,"","","","","6"
"133","اللغة الإنجليزية الفنية II","TECHNICAL ENGLISH II","ACD03206","3","3","0","","","","","","","","","6"
"134","التسويق","MARKETING","BUS03207","3","3","0",\N,\N,\N,\N,"","","","","3"
"135","تقنيات الدوائر الأمامية والاستقبال III","FRONT OFFICE PROCEDURES II","HOT02216","2","1","1",\N,\N,\N,\N,"","","","","5"
"136","تقنيات شؤون التدبير الفندقي II","HOUSE KEEPING PROCEDURES II","HOT02217","2","1","1",\N,\N,\N,\N,"","","","","5"
"137","الصحة العامة","PUBLIC HEALTH","HOT02211","2","2","0",\N,\N,\N,\N,"","","","","5"
"138","اللغة الفرنسية III","FRENCH LANGUAGE III","ACD02215","2","2","0",\N,\N,\N,\N,"","","","","6"
"139","تدريب ميداني I","FIELD TRAINING I","HOT03219","3","0","3",\N,\N,\N,\N,"","","","","5"
"140","الطباعة والاتصال ووسائله","TYPING & COMMUNICATION SKILLS","BUS03203","3","1","2",\N,\N,\N,\N,"","","","","3"
"141","تقنيات الدوائر الأمامية والاستقبال IV","FRONT OFFICE PROCEDURES II","HOT02218","2","1","1",\N,\N,\N,\N,"","","","","5"
"142","تقنيات شؤون التدبير الفندقي III","HOUSE KEEPING PROCEDURES III","HOT02220","2","1","1",\N,\N,\N,\N,"","","","","5"
"143","اللغة الفرنسية IV","FRENCH LANGUAGE IV","ACD02218","2","2","0",\N,\N,\N,\N,"","","","","6"
"144","مبادئ السياحة","PRINCIPLES OF TOURISM","HOT02207","2","2","0",\N,\N,\N,\N,"","","","","5"
"145","تدريب ميداني II","FIELD TRAINING II","HOT03221","3","0","3",\N,\N,\N,\N,"","","","","5"
"146","صحة الأغذية ","FOOD HYGIENE","HOT03100","3","3","0",\N,\N,\N,\N,"","","","","5"
"147","تحضير الطعام وإنتاجه I","FOOD PRODUCTION I","HOT02101","2","1","1",\N,\N,\N,\N,"","","","","5"
"148","خدمات الطعام والشراب I","FOOD & BEVERAGE SERVICE I","HOT02102","2","1","1",\N,\N,\N,\N,"","","","","5"
"149","علم الأغذية","SITOLOGY","HOT03103","3","2","1",\N,\N,\N,\N,"","","","","5"
"150","تغذية الإنسان","NUTRITION","HOT03210","3","3","0",\N,\N,\N,\N,"","","","","5"
"151","تحضير الطعام وإنتاجه II","FOOD PRODUCTION II","HOT02204","2","1","1",\N,\N,\N,\N,"","","","","5"
"152","خدمات الطعام والشراب II","FOOD & BEVERAGE SERVICE II","HOT02205","2","1","1",\N,\N,\N,\N,"","","","","5"
"153","تدريب ميداني I","FIELD TRAINING I","HOT03206","3","0","3",\N,\N,\N,\N,"","","","","5"
"154","تحضير الطعام وإنتاجه III","FOOD PRODUCTION III","HOT02208","2","1","1",\N,\N,\N,\N,"","","","","5"
"155","خدمات الطعام والشراب III","FOOD & BEVERAGE SERVICE III","HOT02209","2","1","1",\N,\N,\N,\N,"","","","","5"
"156","تدريب ميداني II","FIELD TRAINING II","HOT03212","3","0","3","","","","","","","","","5"
"157","مقدمة في الحاسوب","INTRODUCTION TO COMPUTERS","EEE03150","3","2","1",\N,\N,\N,\N,"","","","","2"
"158","رسم هندسي","ENGINEERING DRAWING","MEE03150","3","1","2","","","","","","","","","2"
"159","تفاضل وتكامل I","CALCULUS I","ACD03150","3","3","0",\N,\N,\N,\N,"","","","","6"
"160","I فيزياء عامة","GENERAL PHYSICS I","ACD03152","3","2","1","المتجهات، علوم الحركة، علم تحريك الجسم، الشغل والطاقة والقدرة، الزخم والتصادمات، الحركة الدورانية، الجاذبية، ميكانيكا الموائع، الحرارة.","","","","المتجهات، علوم الحركة، علم تحريك الجسم، الشغل والطاقة والقدرة، الزخم والتصادمات، الحركة الدورانية، الجاذبية، ميكانيكا الموائع، الحرارة.","","","","2"
"161","مختبر فيزياء عامة I","PHYSICS I LAB","ACD03153","1","0","1",\N,\N,\N,\N,"","","","","6"
"162","I لغة إنجليزية","ENGLISH LANGUAGE I","ACD03159","3","3","0","إثراء مفردات الطالب من خلال قراءة نصوص باللغة الإنجليزية بشكل عام وفهمها ونصوص ومصطلحات تختص بعلم الحاسوب والتكنولوجيا بشكل خاص، كما يهدف إلى تنمية المهارات اللغوية الأساسية: القراءة، الكتابة، الاستماع، المحادثة، تنمية المفردات اللغوية و قواعد  اللغة الإنجليزية، زيادة  قدرة المتعلمين على فهم وتعلم واستخدام اللغة الإنجليزية في المواقف الاجتماعية والأكاديمية المختلفة، والتركيز على قواعد اللغة الانجليزية العامة وتطبيقات عليها؛ لتمكين الطالب من كتابة التعبير والرسائل والأبحاث بشكل جيد.  ","","","","إثراء مفردات الطالب من خلال قراءة نصوص باللغة الإنجليزية بشكل عام وفهمها ونصوص ومصطلحات تختص بعلم الحاسوب والتكنولوجيا بشكل خاص، كما يهدف إلى تنمية المهارات اللغوية الأساسية: القراءة، الكتابة، الاستماع، المحادثة، تنمية المفردات اللغوية و قواعد  اللغة الإنجليزية، زيادة  قدرة المتعلمين على فهم وتعلم واستخدام اللغة الإنجليزية في المواقف الاجتماعية والأكاديمية المختلفة، والتركيز على قواعد اللغة الانجليزية العامة وتطبيقات عليها؛ لتمكين الطالب من كتابة التعبير والرسائل والأبحاث بشكل جيد.","","","","6"
"163","لغة عربية","ARABIC LANGUAGE","ACD03158","3","3","0","تعريف البحث العلمي، وأهميته، وشروطه،  الكتابة الإملائية الصحيحة وفق قواعد الرسم العربي، استعمال المعاجم العربية، الصياغة اللغوية السليمة، وضع علامات الترقيم \
في مواقعها المناسبة، القراءة والتعبير الكتابي تعبيرا سليما وفقا لقواعد الكتابة وأصولها، كما يهدف إلى التذوق الأدبي عن طريق دراسة نصوص من القرآن الكريم، والشعر العربي، والقصة.","","","","تعريف البحث العلمي، وأهميته، وشروطه،  الكتابة الإملائية الصحيحة وفق قواعد الرسم العربي، استعمال المعاجم العربية، الصياغة اللغوية السليمة، وضع علامات الترقيم \
في مواقعها المناسبة، القراءة والتعبير الكتابي تعبيرا سليما وفقا لقواعد الكتابة وأصولها، كما يهدف إلى التذوق الأدبي عن طريق دراسة نصوص من القرآن الكريم، والشعر العربي، والقصة.","","","","6"
"164","مقدمة في الهندسة","INTRODUCTION TO ENGINEERING","EEE01151","1","1","0",\N,\N,\N,\N,"","","","","2"
"165","برمجة الحاسوب","COMPUTER PROGRAMMING","EEE44150","4","3","1",\N,\N,\N,\N,"","","","","1"
"166","المشغل الهندسي والأمن الصناعي","ENGINEEING WORKSHOP AND INDUSTRIAL SAFETY","MEE03151","3","1","2",\N,\N,\N,\N,"","","","","2"
"167","تفاضل وتكامل II","CALCULUS II","ACD03151","3","3","0",\N,\N,\N,\N,"","","","","6"
"168","فيزياء عامة II","PHYSICS II","ACD03154","3","3","0",\N,\N,\N,\N,"","","","","6"
"169","مختبر فيزياء عامة II","PHYSICS II LAB","ACD03155","1","0","1",\N,\N,\N,\N,"","","","","6"
"170","اللغة الإنجليزية II","ENGLISH LANGUAGE II","ACD03157","3","3","0",\N,\N,\N,\N,"","","","","6"
"171","تفاضل وتكامل III","CALCULUS III","ACD03259","3","3","0",\N,\N,\N,\N,"","","","","6"
"172","كيمياء I","CHEMISTRY I","ACD03260","3","3","0",\N,\N,\N,\N,"","","","","6"
"173","مختبر كيمياء I","CHEMISTRY I LAB","ACD03261","1","0","1",\N,\N,\N,\N,"","","","","6"
